Area Name,Occupational Code,Occupational Title,Estimated Employment,Pay Type,Mean Wage,Entry Wage,Experienced Wage,10th Percentile Wage,25th Percentile Wage,Median Wage,75th Percentile Wage,90th Percentile Wage
Iowa,00-0000,"Total, All Occupations",1469920,Hourly wage,23.69,11.70,29.69,10.28,13.61,19.19,28.59,40.76
Iowa,00-0000,"Total, All Occupations",1469920,Annual wage,49278.00,24329.00,61753.00,21393.00,28319.00,39912.00,59467.00,84785.00
Iowa,11-0000,Management Occupations,83920,Hourly wage,49.11,25.36,60.98,21.73,30.89,43.36,60.49,82.11
Iowa,11-0000,Management Occupations,83920,Annual wage,102145.00,52746.00,126844.00,45192.00,64243.00,90183.00,125809.00,170797.00
Iowa,11-1011,Chief Executives,2090,Hourly wage,94.48,39.38,122.03,29.79,55.70,91.66,,
Iowa,11-1011,Chief Executives,2090,Annual wage,196515.00,81919.00,253813.00,61969.00,115863.00,190656.00,,
Iowa,11-1021,General and Operations Managers,24460,Hourly wage,47.12,22.02,59.66,19.01,27.40,39.61,58.79,85.03
Iowa,11-1021,General and Operations Managers,24460,Annual wage,98004.00,45809.00,124101.00,39543.00,56991.00,82386.00,122287.00,176860.00
Iowa,11-1031,Legislators,1280,Hourly wage,,,,,,,,
Iowa,11-1031,Legislators,1280,Annual wage,53385.00,18927.00,70615.00,17153.00,19519.00,32782.00,43782.00,114993.00
Iowa,11-2011,Advertising and Promotions Managers,170,Hourly wage,50.62,32.02,59.91,31.33,35.93,46.62,62.62,79.11
Iowa,11-2011,Advertising and Promotions Managers,170,Annual wage,105280.00,66601.00,124620.00,65174.00,74731.00,96967.00,130248.00,164542.00
Iowa,11-2021,Marketing Managers,2270,Hourly wage,58.60,35.69,70.06,31.65,41.58,52.57,70.73,92.15
Iowa,11-2021,Marketing Managers,2270,Annual wage,121897.00,74229.00,145731.00,65825.00,86483.00,109336.00,147111.00,191677.00
Iowa,11-2022,Sales Managers,2940,Hourly wage,57.15,33.57,68.94,30.18,39.25,51.62,70.56,89.96
Iowa,11-2022,Sales Managers,2940,Annual wage,118873.00,69817.00,143402.00,62776.00,81649.00,107366.00,146773.00,187124.00
Iowa,11-2030,Public Relations and Fundraising Managers,880,Hourly wage,49.32,29.96,59.00,27.20,33.21,44.53,60.06,78.53
Iowa,11-2030,Public Relations and Fundraising Managers,880,Annual wage,102595.00,62324.00,122730.00,56583.00,69072.00,92623.00,124925.00,163338.00
Iowa,11-3010,Administrative Services and Facilities Managers,2380,Hourly wage,43.98,30.95,50.49,28.12,33.85,39.75,50.98,64.07
Iowa,11-3010,Administrative Services and Facilities Managers,2380,Annual wage,91473.00,64374.00,105023.00,58491.00,70400.00,82678.00,106032.00,133260.00
Iowa,11-3021,Computer and Information Systems Managers,3680,Hourly wage,60.99,41.68,70.65,38.34,48.09,59.28,71.94,85.19
Iowa,11-3021,Computer and Information Systems Managers,3680,Annual wage,126862.00,86699.00,146943.00,79743.00,100035.00,123304.00,149637.00,177189.00
Iowa,11-3031,Financial Managers,8590,Hourly wage,58.22,33.51,70.58,29.70,38.59,52.06,70.85,95.29
Iowa,11-3031,Financial Managers,8590,Annual wage,121102.00,69691.00,146808.00,61770.00,80273.00,108290.00,147363.00,198199.00
Iowa,11-3051,Industrial Production Managers,3080,Hourly wage,48.41,33.11,56.06,31.37,36.94,45.45,55.88,71.48
Iowa,11-3051,Industrial Production Managers,3080,Annual wage,100692.00,68859.00,116608.00,65260.00,76826.00,94535.00,116235.00,148668.00
Iowa,11-3061,Purchasing Managers,650,Hourly wage,51.61,34.14,60.35,32.10,38.05,48.44,61.43,77.90
Iowa,11-3061,Purchasing Managers,650,Annual wage,107354.00,71018.00,125522.00,66777.00,79139.00,100760.00,127783.00,162031.00
Iowa,11-3071,"Transportation, Storage, and Distribution Managers",1560,Hourly wage,42.51,29.33,49.10,26.74,32.64,39.54,49.70,62.09
Iowa,11-3071,"Transportation, Storage, and Distribution Managers",1560,Annual wage,88416.00,61011.00,102118.00,55622.00,67892.00,82237.00,103386.00,129143.00
Iowa,11-3111,Compensation and Benefits Managers,120,Hourly wage,52.35,34.38,61.34,33.18,36.88,45.73,62.64,77.66
Iowa,11-3111,Compensation and Benefits Managers,120,Annual wage,108892.00,71501.00,127588.00,69018.00,76713.00,95115.00,130294.00,161532.00
Iowa,11-3121,Human Resources Managers,1410,Hourly wage,54.29,35.50,63.68,32.37,40.25,49.26,61.68,81.53
Iowa,11-3121,Human Resources Managers,1410,Annual wage,112921.00,73840.00,132461.00,67322.00,83721.00,102460.00,128298.00,169577.00
Iowa,11-3131,Training and Development Managers,330,Hourly wage,44.81,31.69,51.37,29.00,34.94,42.73,53.04,62.71
Iowa,11-3131,Training and Development Managers,330,Annual wage,93211.00,65925.00,106854.00,60316.00,72668.00,88884.00,110315.00,130443.00
Iowa,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",210,Hourly wage,45.94,30.22,53.80,27.90,32.82,39.63,57.44,76.28
Iowa,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",210,Annual wage,95558.00,62862.00,111906.00,58027.00,68256.00,82424.00,119473.00,158664.00
Iowa,11-9021,Construction Managers,3170,Hourly wage,42.97,27.45,50.73,24.24,31.62,39.47,50.24,62.46
Iowa,11-9021,Construction Managers,3170,Annual wage,89373.00,57096.00,105511.00,50415.00,65767.00,82101.00,104508.00,129914.00
Iowa,11-9031,"Education and Childcare Administrators, Preschool and Daycare",830,Hourly wage,22.50,15.18,26.16,13.93,16.34,20.59,26.15,33.27
Iowa,11-9031,"Education and Childcare Administrators, Preschool and Daycare",830,Annual wage,46801.00,31583.00,54409.00,28972.00,33989.00,42818.00,54386.00,69199.00
Iowa,11-9032,"Education Administrators, Kindergarten through Secondary",2520,Hourly wage,,,,,,,,
Iowa,11-9032,"Education Administrators, Kindergarten through Secondary",2520,Annual wage,104833.00,78543.00,117979.00,72426.00,87636.00,103071.00,123545.00,139717.00
Iowa,11-9033,"Education Administrators, Postsecondary",2370,Hourly wage,50.81,28.46,61.99,24.77,32.85,42.76,60.56,86.67
Iowa,11-9033,"Education Administrators, Postsecondary",2370,Annual wage,105684.00,59190.00,128930.00,51522.00,68331.00,88944.00,125963.00,180273.00
Iowa,11-9039,"Education Administrators, All Other",370,Hourly wage,45.52,25.07,55.75,22.45,29.41,41.91,56.74,77.56
Iowa,11-9039,"Education Administrators, All Other",370,Annual wage,94686.00,52138.00,115961.00,46692.00,61173.00,87180.00,118028.00,161331.00
Iowa,11-9041,Architectural and Engineering Managers,2380,Hourly wage,60.43,42.58,69.36,39.59,49.14,59.77,70.89,81.08
Iowa,11-9041,Architectural and Engineering Managers,2380,Annual wage,125700.00,88563.00,144268.00,82357.00,102206.00,124329.00,147452.00,168647.00
Iowa,11-9051,Food Service Managers,1640,Hourly wage,24.65,16.85,28.54,14.70,19.44,23.32,29.47,35.94
Iowa,11-9051,Food Service Managers,1640,Annual wage,51263.00,35055.00,59367.00,30577.00,40429.00,48513.00,61295.00,74745.00
Iowa,11-9071,Gambling Managers,110,Hourly wage,41.05,25.16,49.00,22.88,27.38,35.77,49.24,69.12
Iowa,11-9071,Gambling Managers,110,Annual wage,85389.00,52325.00,101921.00,47583.00,56943.00,74409.00,102413.00,143779.00
Iowa,11-9081,Lodging Managers,680,Hourly wage,25.72,17.12,30.02,16.65,18.97,22.34,26.81,42.01
Iowa,11-9081,Lodging Managers,680,Annual wage,53501.00,35603.00,62450.00,34632.00,39454.00,46473.00,55775.00,87375.00
Iowa,11-9111,Medical and Health Services Managers,6450,Hourly wage,43.86,29.75,50.91,27.15,32.76,38.94,49.38,65.21
Iowa,11-9111,Medical and Health Services Managers,6450,Annual wage,91230.00,61885.00,105902.00,56472.00,68139.00,80987.00,102705.00,135643.00
Iowa,11-9121,Natural Sciences Managers,520,Hourly wage,52.41,37.41,59.91,31.10,43.38,49.71,60.60,78.13
Iowa,11-9121,Natural Sciences Managers,520,Annual wage,109020.00,77817.00,124622.00,64682.00,90238.00,103390.00,126044.00,162518.00
Iowa,11-9131,Postmasters and Mail Superintendents,260,Hourly wage,36.23,31.83,38.43,32.05,33.51,35.00,38.12,42.53
Iowa,11-9131,Postmasters and Mail Superintendents,260,Annual wage,75353.00,66208.00,79925.00,66667.00,69706.00,72790.00,79287.00,88455.00
Iowa,11-9141,"Property, Real Estate, and Community Association Managers",1430,Hourly wage,28.16,16.44,34.02,15.81,19.70,25.13,31.34,45.88
Iowa,11-9141,"Property, Real Estate, and Community Association Managers",1430,Annual wage,58573.00,34203.00,70758.00,32891.00,40978.00,52261.00,65190.00,95420.00
Iowa,11-9151,Social and Community Service Managers,2180,Hourly wage,29.07,19.11,34.05,17.20,21.39,27.50,35.31,42.86
Iowa,11-9151,Social and Community Service Managers,2180,Annual wage,60466.00,39752.00,70822.00,35781.00,44483.00,57198.00,73446.00,89140.00
Iowa,11-9161,Emergency Management Directors,160,Hourly wage,30.81,20.54,35.94,20.07,23.07,28.69,36.63,43.44
Iowa,11-9161,Emergency Management Directors,160,Annual wage,64079.00,42715.00,74761.00,41738.00,47977.00,59681.00,76181.00,90351.00
Iowa,11-9171,Funeral Home Managers,100,Hourly wage,35.35,15.47,45.29,10.18,21.26,33.63,39.08,60.73
Iowa,11-9171,Funeral Home Managers,100,Annual wage,73533.00,32184.00,94207.00,21185.00,44217.00,69941.00,81290.00,126320.00
Iowa,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",2650,Hourly wage,54.02,29.61,66.22,26.70,35.52,48.71,65.45,85.02
Iowa,11-9198,"Personal Service Managers, All Other; Entertainment and Recreation Managers, Except Gambling; and Managers, All Other",2650,Annual wage,112352.00,61585.00,137735.00,55533.00,73878.00,101308.00,136143.00,176833.00
Iowa,13-0000,Business and Financial Operations Occupations,76730,Hourly wage,33.52,20.37,40.10,18.31,23.83,30.88,40.10,50.91
Iowa,13-0000,Business and Financial Operations Occupations,76730,Annual wage,69731.00,42367.00,83413.00,38092.00,49570.00,64227.00,83413.00,105898.00
Iowa,13-1020,Buyers and Purchasing Agents,3980,Hourly wage,29.37,18.74,34.68,16.94,22.10,28.23,35.37,43.07
Iowa,13-1020,Buyers and Purchasing Agents,3980,Annual wage,61091.00,38987.00,72143.00,35242.00,45970.00,58712.00,73565.00,89578.00
Iowa,13-1031,"Claims Adjusters, Examiners, and Investigators",3290,Hourly wage,31.08,21.15,36.04,19.48,23.97,30.59,37.95,44.33
